title,date,views,likes,comments,team_score,opponent_score
3 POINTS BUT IS HARRY KANE IS PLAYING IN A STRAIGHT JACKET? Tottenham 2 vs Aston Villa 1 EXPRESSIONS,2021-10-03,50955,2355,241,,
"SPURS TAKE THE 3 POINTS, KANE STILL MISSING😴😴 Tottenham 2 vs Aston Villa 1 EXPRESSIONS VLOG",2021-10-03,45925,2031,161,,
I STILL GOT PTSD FROM THE NORTH LONDON DERBY😴 NUNO NEEDS TO BEAT VILLA! Spurs 5 Mura 1 EXPRESSIONS,2021-09-30,73049,3131,323,,
"EXPRESSIONS LOSES IT WITH NUNO, LEVY AND SPURS 🤬UNITED LOSE AGAIN, AJ VS USYK  BANTS SPORTS OOZ EP7",2021-09-28,130800,4612,670,,
ABSOLUTELY EMBARRASSED IN A NORTH LONDON DERBY WE ARE IN TROUBLE🤬 Arsenal 3 Tottenham 1 EXPRESSIONS,2021-09-26,323558,13887,2192,,
THIS WAS THE WORST NLD IN AGES WE GOT PEPPERED 🤬🤬Arsenal 3 vs Tottenham 1 LIVE with EXPRESSIONS,2021-09-26,285449,8592,812,,
WE NEVER AGREE WE GO TO WAR ON SUNDAY| Arsenal vs Tottenham NLD COMBINED 11 @TroopzTV vs EXPRESSIONS,2021-09-25,124574,4918,732,,
EXPRESSIONS GOES TO WWE LIVE 02 LONDON FEAT @TroopzTV PRE DRINKS BEFORE NORTH LONDON DERBY!,2021-09-23,43543,1701,154,,
HAPPY TO WIN BUT WE ALWAYS COLLAPSE SECOND HALF! 😭 ! Wolves (2) Tottenham (2) EXPRESSIONS REACTS,2021-09-22,40515,1946,155,,
Wolves vs Tottenham CARABAO CUP LIVE WITH EXPRESSIONS,2021-09-22,72127,2311,44,,
"CHELSC*M RUN RIOT AT SPURS, CR7 SCORES AGAIN, ASSNA COMING BACK? BANTS SPORTS OOZ EP 6| RANTS + NIC",2021-09-21,58410,2389,858,,
"NO HEART, PASSION OR FIGHT 2ND HALF ITS EMBARRASSING!🤬Tottenham (0) vs Chelsea (3) EXPRESSIONS VLOG",2021-09-19,108408,3833,384,,
WE GOT ABSOLUTELY EMBARRASSED TODAY IM FUMING!🤬 Tottenham (0) vs Chelsea (3) EXPRESSIONS REACTS,2021-09-19,199422,9242,1456,,
IM SCARED OF WHAT THE SCORE WILL BE AGAINST CHELSEA😭 Rennes (2) vs Tottenham (2) EXPRESSIONS REACTS,2021-09-16,79004,3385,498,,
THE FOOTBALL WAS TERRIBLE!! Rennes (2) vs Tottenham (2) EUROPA Conference LEAGUE LIVE EXPRESSIONS,2021-09-16,61456,2236,104,,
SPURS DESTROYED BY PALACE 😭RONALDO RUNS WILD AT HOME@Rants N Bants OLE OUT! BANTS SPORTS OOZ EP5,2021-09-14,44941,2133,404,,
3 GOALS BY CRYSTAL METH FC FOR BREAKFAST EMBARASSING!🤬 Crystal Palace 3 Tottenham 0 EXPRESSIONS,2021-09-11,142709,6565,903,,
I CAN’T BELIEVE IT!! Crystal Palace 3  vs Tottenham 0 LIVE WATCH ALONG With EXPRESSIONS,2021-09-11,119098,3712,381,,
