title,date,views,likes,comments,team_score,opponent_score
RICKY'S RIGHT ABOUT MATIC! Brighton 4-0 Manchester United | GRAHAM'S FAN VLOG,2022-05-07,21792,440,55.0,0.0,4.0
WORST UNITED SIDE EVER! Brighton 4-0 Manchester United | OPPOSITION FAN VLOG,2022-05-07,18842,460,56.0,0.0,4.0
RANGNICK'S SHOCKING TACTICS! Brighton 4-0 Manchester United | ADAM'S FAN VLOG,2022-05-07,71220,1794,294.0,0.0,4.0
SUBBING MATIC A DISGRACE! Brighton 4-0 Manchester United | RICKY'S FAN VLOG,2022-05-07,80260,2694,454.0,0.0,4.0
GOLDBRIDGE! BRIGHTON 4-0 MANCHESTER UNITED Match Reaction,2022-05-07,399789,12851,1001.0,0.0,4.0
BRIGHTON vs MANCHESTER UNITED LIVE GOLDBRIDGE Watchalong!,2022-05-07,658753,11293,486.0,,
UNITED MUST FINISH STRONG - TWO Consecutive Wins? Brighton vs Manchester United | Adam’s Road Trip,2022-05-07,28618,1101,80.0,,
POGBA To MAN CITY! RANGNICK Transfer Snub! Man Utd News,2022-05-07,179050,5610,1082.0,,
TEN HAG's RONALDO Plea! Man Utd News,2022-05-06,206101,5597,316.0,,
RANGNICK PRESS CONFERENCE REACTION! BRIGHTON vs MANCHESTER UNITED,2022-05-06,82579,2526,156.0,,
NKUNKU Transfer Talks BEGIN! Man Utd News,2022-05-06,164933,4984,356.0,,
Ten Hag Wants This Striker! Man Utd News,2022-05-05,136547,3045,238.0,,
BRIGHTON vs MANCHESTER UNITED! NKUNKU & RASHFORD Transfer Update!,2022-05-05,160378,4694,275.0,,
TIMBER Transfer Setback! TEN HAG Wants BERGWIJN! Man Utd News,2022-05-05,156798,4507,377.0,,
TEN HAG Transfer Boost ! NKUNKU Transfer Request! Man Utd News,2022-05-04,182433,5214,269.0,,
NEVES Transfer Offer? TEN HAG Targets NDICKA! Man Utd News,2022-05-04,169291,4946,283.0,,
Ruthless TEN HAG Player Warning! Man Utd News,2022-05-04,164802,4451,337.0,,
RASHFORD For SALE? TCHOUAMENI Transfer Blow! Man Utd News,2022-05-03,196604,5373,465.0,,
RANGNICK Chasing NKUNKU Deal! RONALDO Warning! Man Utd News,2022-05-03,168670,5573,246.0,,
LINGARD Calls Out RANGNICK! RICE Transfer BOOST! Man Utd News,2022-05-03,199000,5992,719.0,,
McTOMINAY DEFINITION OF AVERAGE! Manchester United 3-0 Brentford | MARK & LANDAN'S FAN VLOG,2022-05-02,15021,281,73.0,3.0,0.0
"RASHFORD, MAGUIRE, SELL THE LOT! Manchester United 3-0 Brentford | ANDREW'S FAN VLOG",2022-05-02,9140,275,28.0,3.0,0.0
MATA ROLLED BACK THE YEARS! Manchester United 3-0 Brentford | GRAHAM'S FAN VLOG,2022-05-02,6650,238,26.0,3.0,0.0
BRUNO MUCH IMPROVED! Manchester United 3-0 Brentford | MIKE'S FAN VLOG,2022-05-02,8499,223,16.0,3.0,0.0
MATIC & MATA SHOWED YOU ALL! Manchester United 3-0 Brentford | RICKY'S FAN VLOG,2022-05-02,73229,3522,559.0,3.0,0.0
RONALDO & ELANGA TOP CLASS! Manchester United 3-0 Brentford | BETH'S FAN VLOG,2022-05-02,23757,852,96.0,3.0,0.0
FAREWELL MATA & MATIC! Manchester United 3-0 Brentford | LIVE Fan's Forum,2022-05-02,83093,2168,92.0,3.0,0.0
GOODBYE MATA & MATIC! Manchester United 3-0 Brentford | ADAM'S FAN VLOG,2022-05-02,19385,764,51.0,3.0,0.0
GOLDBRIDGE! MANCHESTER UNITED 3-0 BRENTFORD Match Reaction,2022-05-02,296713,13962,584.0,3.0,0.0
MANCHESTER UNITED vs BRENTFORD LIVE GOLDBRIDGE Watchalong!,2022-05-02,450643,9536,210.0,,
START ERIC BAILLY! UNITED PUSH FOR EUROPA! Manchester United vs Brentford | Adam’s Road Trip,2022-05-02,42744,1529,133.0,,
TEN HAG Wants TCHOUAMENI! Man Utd Transfer News,2022-05-02,187570,6652,695.0,,
Ten Hag's Ronaldo Dilemma! Man Utd News,2022-05-01,157369,3382,244.0,,
TEN HAG's First Signing! POGBA Stays? Man Utd News,2022-05-01,324527,8664,689.0,,
MANCHESTER UNITED vs BRENTFORD! RANGNICK Must Drop Rashford!,2022-04-30,169088,4847,386.0,,
TEN HAG's HUGE Transfer Plan! NUNEZ Price Set! Man Utd News,2022-04-30,260947,7419,663.0,,
JUDGE Resigns! TEN HAG Revolution Continues! Man Utd News,2022-04-29,307167,8697,532.0,,
RANGNICK PRESS CONFERENCE REACTION! MANCHESTER UNITED vs BRENTFORD,2022-04-29,132544,4412,198.0,,
RANGNICK Takes AUSTRIA JOB! Man Utd News,2022-04-29,157433,4918,466.0,,
SICK OF BRUNO! Manchester United 1-1 Chelsea | ANDREW'S FAN VLOG,2022-04-28,17558,362,138.0,1.0,1.0
DE GEA IS WORLD CLASS! Manchester United 1-1 Chelsea | MARK'S FAN VLOG,2022-04-28,6655,213,17.0,1.0,1.0
RASHFORD DID ALRIGHT! Manchester United 1-1 Chelsea | LANDAN'S FAN VLOG,2022-04-28,7300,131,90.0,1.0,1.0
GET DECLAN RICE! Manchester United 1-1 Chelsea | GRAHAM'S FAN VLOG,2022-04-28,6129,169,78.0,1.0,1.0
RONALDO'S ONE MAN SHOW! Manchester United 1-1 Chelsea | ADAM'S FAN VLOG,2022-04-28,30673,918,87.0,1.0,1.0
LOWEST POINTS IN PL ERA ✅ Manchester United 1-1 Chelsea | LIVE Fan's Forum,2022-04-28,93134,2402,186.0,1.0,1.0
GOLDBRIDGE! MANCHESTER UNITED 1-1 CHELSEA Match Reaction,2022-04-28,288192,8860,650.0,1.0,1.0
MANCHESTER UNITED vs CHELSEA LIVE GOLDBRIDGE Watchalong!,2022-04-28,549859,10689,238.0,,
RONALDO ONE MAN BAND AGAIN? Manchester United vs Chelsea | Adam’s Road Trip,2022-04-28,37933,1388,104.0,,
Ten Hag Clear Out Begins! Man Utd News,2022-04-28,241266,7210,652.0,,
Ten Hag's CDM Hunt! Maguire Out For Season? Man Utd News,2022-04-27,133382,2735,246.0,,
RANGNICK PRESS CONFERENCE REACTION! CHELSEA vs MANCHESTER UNITED,2022-04-27,161682,4972,319.0,,
TEN HAG Agrees 50 MILLION PHILLIPS Talks! Man Utd News,2022-04-27,241854,6331,782.0,,
Ten Hag TRANSFER LISTS SIX United Players!,2022-04-26,280042,7730,925.0,,
MANCHESTER UNITED vs CHELSEA! RANGNICK's DILEMMA,2022-04-26,162004,4373,298.0,,
TEN HAG Calls Out United Players! Man Utd News,2022-04-25,276313,7579,427.0,,
TEN HAG's TRANSFER LIST! FABRIZIO ROMANO Man Utd News,2022-04-25,380745,10020,562.0,,
RANGNICK STAYS! ERIKSEN & DE JONG Transfer Latest! Man Utd News,2022-04-25,217966,6320,738.0,,
The Bruno Fernandes Problem! Man Utd News,2022-04-24,265296,5709,649.0,,
RANGNICK SLAMS SELFISH UNITED PLAYERS! Man Utd News,2022-04-24,298193,8047,1021.0,,
PLAYERS Turn on RANGNICK! Man Utd News,2022-04-23,239743,6356,702.0,,
BRUNO & TELLES DROP STINKERS! Arsenal 3-1 Manchester United | LIVE Fan's Forum,2022-04-23,133958,2685,350.0,1.0,3.0
GOLDBRIDGE! ARSENAL 3-1 MANCHESTER UNITED Match Reaction,2022-04-23,412248,11099,986.0,1.0,3.0
ARSENALvs MANCHESTER UNITED LIVE GOLDBRIDGE Watchalong!,2022-04-23,814239,13574,647.0,,
UNITED MUST UPSET ARSENAL! Arsenal vs Manchester United | Adam’s Road Trip,2022-04-23,37006,1241,147.0,,
TEN HAG's WARNING To UNITED PLAYERS! Man Utd News,2022-04-22,261518,7547,555.0,,
RANGNICK PRESS CONFERENCE REACTION! ARSENAL vs MANCHESTER UNITED,2022-04-22,148760,4758,360.0,,
TEN HAG's TRANSFER Boost! Man Utd News,2022-04-22,196939,6709,428.0,,
ARSENAL vs MANCHESTER UNITED! RONALDO Returns!,2022-04-21,155597,5202,369.0,,
OFFICIAL! Erik TEN HAG Is Manchester United Manager!,2022-04-21,406862,19991,1081.0,,
RANGNICK ANGER at BOARD! TEN HAG Today! Man Utd News,2022-04-21,151238,4070,295.0,,
TEN HAG'S TARGETS! Man Utd Transfer News,2022-04-20,214020,5941,467.0,,
UNITED WANT TORRES! RONALDO RETURNS! Man Utd News,2022-04-20,164027,5309,412.0,,
RANGNICK DEMANDS NEW TEAM! Man Utd News,2022-04-20,265922,8714,808.0,,
MAGUIRE & CO HORROR SHOW! Liverpool 4-0 Manchester United | LIVE Fan's Forum,2022-04-19,192079,3756,474.0,0.0,4.0
TEN HAG SAVE US! Liverpool 4-0 Manchester United | GRAHAM'S FAN VLOG,2022-04-19,29442,491,75.0,0.0,4.0
MAGUIRE & PLAYERS TAKING THE P*SS! Liverpool 4-0 Manchester United | ADAM'S FAN VLOG,2022-04-19,95358,2041,351.0,0.0,4.0
GOLDBRIDGE! LIVERPOOL 4-0 MANCHESTER UNITED Match Reaction,2022-04-19,555758,14345,1214.0,0.0,4.0
LIVERPOOL vs MANCHESTER UNITED LIVE GOLDBRIDGE Watchalong!,2022-04-19,923303,15661,466.0,,
MAN UNITED TO STOP LIVERPOOL'S QUADRUPLE! Liverpool vs Manchester United | Adam’s Road Trip,2022-04-19,54612,1711,290.0,,
NKUNKU Transfer Set! RANGNICK TEN HAG Warning!  Man Utd News,2022-04-19,170154,5585,398.0,,
TEN HAG MUST DO THIS! Man Utd News,2022-04-18,210069,6976,359.0,,
TEN HAG HERE WE GO! Man Utd News,2022-04-18,220384,8361,326.0,,
RANGNICK PRESS CONFERENCE REACTION! LIVERPOOL vs MANCHESTER UNITED,2022-04-18,111051,3776,284.0,,
LIVERPOOL vs MANCHESTER UNITED! RANGNICK's Mission Impossible,2022-04-18,149184,4995,519.0,,
NUNEZ To Replace RONALDO? TEN HAG Blow! Man Utd News,2022-04-17,149511,4062,372.0,,
POGBA RANT! TEN HAG NEW Number 2! Man Utd News,2022-04-17,216472,7059,998.0,,
RONALDO THE GOAT! Manchester United 3-2 Norwich | KIRK'S FAN VLOG,2022-04-16,23977,1054,77.0,3.0,2.0
UNITED'S TOP 4 RACE IS BACK ON! Manchester United 3-2 Norwich | LANDAN & MARK'S FAN VLOG,2022-04-16,11641,309,57.0,3.0,2.0
MAN UNITED DRAMA RETURNS! Manchester United 3-2 Norwich | GRAHAM'S FAN VLOG,2022-04-16,10229,298,17.0,3.0,2.0
RONALDO TO THE RESCUE! Manchester United 3-2 Norwich | ADAM'S FAN VLOG,2022-04-16,35195,1120,110.0,3.0,2.0
RONALDO THE SAVIOUR! Manchester United 3-2 Norwich City | LIVE Fan's Forum,2022-04-16,121161,2840,194.0,3.0,2.0
GOLDBRIDGE! MANCHESTER UNITED 3-2 NORWICH Match Reaction,2022-04-16,316913,12475,766.0,3.0,2.0
MAN UTD vs NORWICH & MAN CITY vs LIVERPOOL LIVE GOLDBRIDGE Watchalong!,2022-04-16,499220,9632,290.0,,
PLAY THE MAN UNITED YOUTH! Manchester United vs Norwich | Adam’s Road Trip,2022-04-16,36984,1402,132.0,,
MATIC QUITS UNITED! UNITED Transfer PANIC! Man Utd News,2022-04-15,234050,6697,598.0,,
RANGNICK PRESS CONFERENCE REACTION! MANCHESTER UNITED vs NORWICH,2022-04-15,105818,3493,156.0,,
TEN HAG Wants TCHOUAMENI! Man Utd News,2022-04-15,147163,4860,384.0,,
TEN HAG Ronaldo Snub? Man Utd News,2022-04-14,116669,2513,268.0,,
MANCHESTER UNITED vs NORWICH! RANGNICK's PLAYER CRISIS!,2022-04-14,124527,4084,223.0,,
TEN HAG 200 MILLION Transfer RACE! Man Utd News,2022-04-14,172125,5126,430.0,,
TEN HAG's TOP 2 TRANSFER TARGETS! Man Utd News,2022-04-13,172348,5466,418.0,,
TEN HAG OFFICIAL This Week? NKUNKU TALKS! Man Utd News,2022-04-13,161495,5212,314.0,,
TEN HAG DEAL AGREED! Man Utd News,2022-04-12,160295,3863,221.0,,
TEN HAG'S BIG CLEAR OUT! Man Utd News,2022-04-12,177315,5246,557.0,,
TEN HAG Decision Time! NEVES Transfer Target! Man Utd News,2022-04-12,149928,4892,334.0,,
Ronaldo Stays! Ten Hag Shopping List! Man Utd News,2022-04-11,133886,3385,311.0,,
ERIK TEN HAG Deal Close? FABRIZIO ROMANO Man Utd News,2022-04-11,147446,4748,236.0,,
NUNEZ Transfer Decision CLOSE! TEN HAG Deal IMMINENT! Man Utd News,2022-04-11,203331,6037,424.0,,
Ten Hag NEW Job Offer! Man Utd News,2022-04-10,142405,3338,240.0,,
