title,date,views,likes,comments
RICKY'S RIGHT ABOUT MATIC! Brighton 4-0 Manchester United | GRAHAM'S FAN VLOG,2022-05-07T20:15:01Z,21792,440,55
WORST UNITED SIDE EVER! Brighton 4-0 Manchester United | OPPOSITION FAN VLOG,2022-05-07T20:00:00Z,18842,460,56
RANGNICK'S SHOCKING TACTICS! Brighton 4-0 Manchester United | ADAM'S FAN VLOG,2022-05-07T19:45:00Z,71220,1794,294
SUBBING MATIC A DISGRACE! Brighton 4-0 Manchester United | RICKY'S FAN VLOG,2022-05-07T19:28:58Z,80260,2694,454
GOLDBRIDGE! BRIGHTON 4-0 MANCHESTER UNITED Match Reaction,2022-05-07T18:43:03Z,399789,12851,1001
BRIGHTON vs MANCHESTER UNITED LIVE GOLDBRIDGE Watchalong!,2022-05-07T18:35:44Z,658753,11293,486
UNITED MUST FINISH STRONG - TWO Consecutive Wins? Brighton vs Manchester United | Adam’s Road Trip,2022-05-07T11:00:17Z,28618,1101,80
POGBA To MAN CITY! RANGNICK Transfer Snub! Man Utd News,2022-05-07T07:40:00Z,179050,5610,1082
TEN HAG's RONALDO Plea! Man Utd News,2022-05-06T20:11:17Z,206101,5597,316
RANGNICK PRESS CONFERENCE REACTION! BRIGHTON vs MANCHESTER UNITED,2022-05-06T13:04:27Z,82579,2526,156
NKUNKU Transfer Talks BEGIN! Man Utd News,2022-05-06T09:54:15Z,164933,4984,356
Ten Hag Wants This Striker! Man Utd News,2022-05-05T20:12:40Z,136547,3045,238
BRIGHTON vs MANCHESTER UNITED! NKUNKU & RASHFORD Transfer Update!,2022-05-05T13:47:45Z,160378,4694,275
TIMBER Transfer Setback! TEN HAG Wants BERGWIJN! Man Utd News,2022-05-05T09:51:13Z,156798,4507,377
TEN HAG Transfer Boost ! NKUNKU Transfer Request! Man Utd News,2022-05-04T18:54:58Z,182433,5214,269
NEVES Transfer Offer? TEN HAG Targets NDICKA! Man Utd News,2022-05-04T13:54:17Z,169291,4946,283
Ruthless TEN HAG Player Warning! Man Utd News,2022-05-04T09:38:35Z,164802,4451,337
