title,date,views,likes,comments
Arsenal 3-0 Fiorentina  | Stan Kroenke Needs To Have Our Passion!,2019-07-21T03:12:16Z,22846,352,151
Arsenal 3-0 Fiorentina | Is Unai Emery The Right Man? (Fans Debate),2019-07-21T03:09:52Z,34399,635,218
Arsenal 3-0 Fiorentina | Eddie Nketiah & Willock Deserve A Chance In The First Team Now!,2019-07-21T03:02:07Z,9824,203,35
Arsenal 3-0 Fiorentina | I'm Not Optimistic For This Season If We Don't Make Signings!,2019-07-21T02:57:36Z,13761,291,56
Arsenal 3-0 Fiorentina | Arsenal Has A Bigger Fan Base Than The LA Rams! (Message To Stan),2019-07-21T02:53:06Z,18079,592,97
Arsenal 3-0 Fiorentina | I'd Buy Two Defenders Instead Of Zaha!,2019-07-21T02:50:34Z,11435,294,57
"Arsenal 3-0 Fiorentina | Don't Loan Eddie Nketiah, KEEP HIM!!!",2019-07-21T02:47:29Z,13641,322,39
Arsenal 3-0 Fiorentina | Good Performance But Still The Same Old Errors In Defence!,2019-07-21T02:44:10Z,9499,215,39
Arsenal 3-0 Fiorentina | I Think The Petition Got Stan Kroenke's Attention!,2019-07-21T02:41:05Z,14692,313,40
Arsenal 3-0 Fiorentina | Eddie Is The Man of The Moment!,2019-07-21T02:37:37Z,11437,343,61
Arsenal 3-0 Fiorentina | Lacazette Should Be Captain! (Troopz),2019-07-21T02:34:54Z,128164,3386,428
Arsenal Fans Invade North Carolina! | AFTV Vlog in Charlotte Day 7/8,2019-07-20T18:26:24Z,73862,1629,290
Saliba Confirmed & Arsenal Enquire About Juventus Wonderkid! | AFTV Transfer Daily,2019-07-20T14:52:20Z,154590,2983,857
Robbie & Troopz Do The Hollywood Walk of Fame! | AFTV Vlog in LA Day 7,2019-07-19T04:45:21Z,92815,2086,395
"Zaha Wants Out, Maguire Madness & Huddersfield's Dodgy Kit | Biased Premier League Show.",2019-07-18T17:55:34Z,135780,3048,697
Arsenal 2 -1 Bayern Munich | Do You Trust The Kroenke's To Deliver? (Robbie Asks The Fans),2019-07-18T09:18:22Z,60819,960,209
Arsenal 2 -1 Bayern Munich | Our Self Sustaining Model Can Work!,2019-07-18T09:13:36Z,24060,660,250
Arsenal 2 -1 Bayern Munich | Eddie Nketiah Brought The FIRE!!!,2019-07-18T09:11:08Z,21910,499,79
Arsenal 2 -1 Bayern Munich | Kroenke Is Using Arsenal As An ATM Machine!,2019-07-18T09:08:28Z,16079,366,56
Arsenal 2 -1 Bayern Munich | Kroenke Left In A Helicopter But Yet He Wont Spend! (Troopz),2019-07-18T09:04:51Z,265066,5145,668
Arsenal 2 -1 Bayern Munich | We've Heard These Promises Before From Kroenke!,2019-07-18T08:57:35Z,18071,469,77
Arsenal 2 -1 Bayern Munich | Josh Kroenke Better Deliver On His Promises! (Moh),2019-07-18T08:51:09Z,103688,2074,297
Arsenal 2 -1 Bayern Munich | I Want Stan Kroenke To Prove Us Wrong!,2019-07-18T08:46:24Z,10831,268,33
"Arsenal 2 -1 Bayern Munich | ""Eddie, Eddie"", Time For Him To Get A Chance!",2019-07-18T08:42:59Z,15031,393,47
Arsenal 2 -1 Bayern Munich | We Need To Upgrade Our Defence!,2019-07-18T08:40:25Z,19779,590,148
Arsenal 2 Bayern Munich 1 | It's A Pivotal Time For Arsenal!,2019-07-18T08:38:11Z,17074,483,83
Who Should Be Arsenal’s Next Captain? Ft Troopz & Harpzz,2019-07-17T21:41:27Z,85958,1858,1287
California Gooner Love! | AFTV USA Vlog Day 6 in Los Angeles,2019-07-17T19:25:04Z,57665,1497,240
"Reactions To Kroenke, Koscielny & The New Away Kit | Claude & Ty Show",2019-07-17T18:00:13Z,58790,1053,459
MINISODE 1 | BLUD BRUVVAS 2 PRESEASON | AFTV FC BACK IN ACTION,2019-07-17T11:00:08Z,153043,3033,458
Big and Very Expensive Players Promised! | AFTV Transfer Daily,2019-07-17T08:38:49Z,196084,4106,1580
"When Troopz Met Kroenke! |  AFTV USA Vlog Day 5 in Denver, Colorado",2019-07-17T00:03:51Z,421158,6952,689
"Stan Kroenke, Laurent Koscielny & The Transfer Window | Turkish Presents - The Supporters Club",2019-07-16T18:30:00Z,101075,1630,418
Dani Ceballos Loan Move To Arsenal Close & Kroenke Pressured To Spend! | AFTV Transfer Daily,2019-07-16T14:46:37Z,137827,2680,772
Become Part Of The Blud Bruvvas World! | Blud Bruvvas Call Out,2019-07-16T11:43:10Z,18794,654,94
Colorado Rapids 0-3 Arsenal | Koscielny's Behaviour Is Unacceptable! (Moh),2019-07-16T06:41:51Z,174461,2917,678
Colorado Rapids 0-3 Arsenal | We Should Boycott A Game!,2019-07-16T06:35:34Z,39001,784,208
Colorado Rapids 0-3 Arsenal | The Self Sustaining Model Doesn't Work!,2019-07-16T06:27:50Z,15024,296,61
Colorado Rapids 0-3 Arsenal | Martinelli Looks So Versatile!,2019-07-16T06:24:19Z,24625,538,69
Colorado Rapids 0-3 Arsenal | Troopz Tells Kroenke To Spend!,2019-07-16T06:21:49Z,134492,3955,444
Colorado Rapids 0-3 Arsenal | Kroenke's Got The Money But He's Stubborn!,2019-07-16T06:19:24Z,18059,434,53
"Colorado Rapids 0-3 Arsenal | It's Sad, Whats Happening At This Great Club!",2019-07-16T06:16:05Z,31048,855,185
"Arsenal Hit The Mid West! | AFTV USA Vlog Day 4 in Denver, Colorado",2019-07-15T20:00:01Z,62453,1370,242
We Care Do You? Arsenal Fans Send Strong Message To Stan Kroenke!,2019-07-15T18:21:51Z,162013,3972,1195
"Stan Kroenke Is A Business Man, He's In It For The Money! | (Denver Gooners)",2019-07-15T09:00:13Z,63186,1195,302
Frustration Mounts As Celtic Reject Arsenal's £25m Tierney Bid | AFTV Transfer Daily,2019-07-15T05:48:02Z,145753,2825,1260
Arsenal Closing In On Tierney & £70m Bid Made For Pepe?? | AFTV Transfer Daily,2019-07-14T08:33:37Z,155920,3426,1578
Ruben Dias Wanted To Replace Koscielny & Spurs Attempt Saliba Hijack | AFTV Transfer Daily,2019-07-13T09:33:28Z,126672,2628,948
Koscielny Must Be Stripped Of Captaincy & Fekir Wants Move | AFTV Transfer Daily,2019-07-12T11:20:25Z,157678,3226,1723
Is Zaha On or Off? Plus Fenerbahçe Cant Afford Ozil! | AFTV Transfer Daily,2019-07-11T08:10:19Z,138138,2586,1363
Getting A Centre Back Is More Important Than Zaha!! | Claude & Ty Show,2019-07-10T14:00:08Z,71296,1266,567
EDU Returns & Real Madrid Striker Offered To Arsenal! | AFTV Transfer Daily,2019-07-10T08:47:00Z,157258,2918,1089
'99.9% of young footballers won't make it pro' | Chasing the Dream | Blud Bruvvas Xclusive,2019-07-09T11:45:00Z,42427,1226,194
"Saliba Done, Bakayoko & Lemina Eyed By Arsenal | AFTV Transfer Daily",2019-07-09T08:17:25Z,175031,3351,1390
AFTV FC V Imperial Wharf | Pre Season Fan Grudge Match! (Commentary by Terry),2019-07-08T16:00:14Z,72137,1333,292
Is Mustafi About To Leave Arsenal? | AFTV Transfer Daily,2019-07-08T07:30:44Z,167701,3203,1379
Arsenal Revive Fraser Interest & Zaha Is Annoyed! | AFTV Transfer Daily,2019-07-07T09:22:10Z,178586,3476,1327
Arsenal 3-3 Boreham Wood  | I Think Zaha Will Join Arsenal! (Moh),2019-07-06T17:05:49Z,141120,2413,544
Arsenal 3-3 Boreham Wood  | Young Gooners Call For Signings To Be Made!,2019-07-06T16:55:33Z,37414,825,166
Arsenal 3-3 Boreham Wood | Kroenke Needs To Back Emery & Give Him The Tools He Needs! (Lee Judges),2019-07-06T16:53:47Z,232885,2799,510
Fenerbahçe 50-51 Percent Confident Of Signing Mesut Ozil! | AFTV Transfer Daily,2019-07-06T09:34:46Z,161593,3141,1460
Torreira Is An Arsenal Player Who Would Make A Good Boxer! | Dan Azeez' Road to Title Glory,2019-07-05T18:21:59Z,33391,846,119
Arsenal Make Offer For Marcelo & Argentinian CB | AFTV Transfer Daily,2019-07-05T07:17:10Z,177519,3345,1544
Zaha Is Going To Get Ugly & Tierney Deal Moves Closer! | AFTV Transfer Daily,2019-07-04T07:15:27Z,182297,3900,1950
What Is Zaha Really Worth & Should We Sign Cahill?  | Claude & Ty Show,2019-07-03T16:30:01Z,85712,1764,751
"BLUD BRUVVAS - DT Forms His Own Team!! (Series 1, EP 5 PG RATED VERSION)",2019-07-03T11:15:01Z,48653,841,124
Atlético Want Lacazette & Palace Angry Over Arsenal Zaha Bid! | AFTV Transfer Daily,2019-07-03T07:03:57Z,171181,3313,1406
Welcome To Arsenal Gabriel Martinelli! 🇧🇷,2019-07-02T16:06:52Z,172379,4402,1306
"BLUD BRUVVAS - BACK AGAIN!! Troopz Returns (Series 1, EP 4 PG RATED VERSION)",2019-07-02T11:15:01Z,28311,518,69
Opening Bid Made For Zaha & Nabil Fekir Offered To Arsenal | AFTV Transfer Daily,2019-07-02T07:43:30Z,176116,3598,1504
Arsenal Have A Lot Of Deadwood That Need To Be Shipped Out!! (Curtis),2019-07-01T19:00:09Z,49212,1101,283
"We're All Mugs, Where Are The Signings? (Heavy D)",2019-07-01T18:00:02Z,165479,2707,940
The New Arsenal Pre Match Kit By Adidas Unboxed!,2019-07-01T17:00:02Z,82397,1747,368
Young Gunz Frank Takes On The AFC Skill Zone Tekkers Challenge!,2019-07-01T16:00:12Z,20324,517,48
Fans Protest Against Arsenal Owner Stan Kroenke At Kit Launch! Ft Turkish,2019-07-01T15:14:09Z,322436,7729,2678
The New Arsenal Home Kit By Adidas Unboxed!,2019-07-01T12:38:07Z,183613,4633,943
"BLUD BRUVVAS - It All Kicks Off! DT Sees Red Vs Mark Goldbridge!  (Series 1, EP 3 PG RATED VERSION)",2019-07-01T12:04:10Z,41822,749,177
Tierney Deal Agreed & Porto Star In Talks With Arsenal | AFTV Transfer Daily,2019-07-01T06:48:44Z,179412,3558,1118
"BLUD BRUVVAS - Robbie Makes Decision on DT's Son! (Series 1, EP 2 PG RATED VERSION)",2019-06-30T11:15:00Z,48996,859,122
Palace Demand Ridiculous £100m for Zaha & Danish Star Linked! | AFTV Transfer Daily,2019-06-30T07:03:42Z,154630,3081,1810
"BLUD BRUVVAS - The Journey Begins! (Series 1, EP 1 PG RATED VERSION)",2019-06-29T11:00:05Z,71528,1845,237
Zaha Pleads With Palace To Let Him Join Arsenal! | AFTV Transfer Daily,2019-06-29T08:35:40Z,178750,3964,2137
(MAGA) Make Arsenal Great Again!!! | All Gunz Blazing Podcast Ft DT,2019-06-28T11:00:17Z,178074,3529,1199
Fenerbahçe Want Mustafi & Price Named For Dunk! | AFTV Transfer Daily,2019-06-28T09:18:06Z,128153,3368,1250
The Lionesses Have Been Amazing! | England Vs Norway Preview (Women's World Cup) Ft Faye White,2019-06-27T14:55:58Z,8227,240,43
Arsenal Identify New CB Targets & Zaha Alternative! | AFTV Transfer Daily,2019-06-27T08:25:21Z,133690,2693,1298
Stop Lying About Torreira & Lingard Gets Hammered! | Biased Premier League Show,2019-06-26T11:15:01Z,155692,3572,1117
Will New Signing Be Unveiled In The Arsenal Adidas Kit? | AFTV Transfer Daily,2019-06-26T07:47:40Z,147542,3116,1136
Torreira Must Stay At Arsenal & VAR Is A Disgrace! | Claude & Ty Show,2019-06-25T16:00:07Z,65977,1374,458
Approach Made For Bailly & Could MKH Sale Fund Zaha Move? | AFTV Transfer Daily,2019-06-25T09:04:34Z,143903,2988,1370
1 MILLION! - The Best Of AFTV Compilation,2019-06-24T19:13:09Z,202913,8864,846
Emery Asks Board To Fund Zaha Transfer & 2nd Bid For Tierney! | AFTV Transfer Daily,2019-06-24T09:43:07Z,157504,4879,1577
ONE MILLION SUBSCRIBERS! THANK YOU,2019-06-23T17:45:55Z,257940,10126,2059
Arsenal's Adidas Deal Has Nothing To Do With Our Transfer Activity! | All Guns Blazing Podcast ft DT,2019-06-22T11:00:05Z,192775,3566,1232
NO CHANCE!! Celtic Reject Arsenal's Low Tierney Bid | AFTV Transfer Daily,2019-06-22T10:04:22Z,113571,2537,1356
Does Ozil Still Have Something To Offer? | I'm A Mad Gooner Ft Single Yellow Rose Organisation,2019-06-21T17:40:03Z,54830,1155,307
Which Centre Back Is Joining Arsenal? | AFTV Transfer Daily,2019-06-21T09:14:23Z,113944,2704,1310
New Contract For Auba? & Ljungberg Must Have Some Authority At Arsenal! | Claude & Ty Show,2019-06-20T12:00:04Z,70934,1239,588
Kieran Tierney Bid Imminent & Arsenal Find Ramsey Replacement! | AFTV Transfer Daily,2019-06-20T08:06:01Z,137926,3017,1201
WTF! Man Utd Want Aubameyang & Athletico Want Xhaka! | AFTV Transfer Daily,2019-06-19T07:52:59Z,148938,3188,2065
William Saliba Agrees Five Year Deal With Arsenal | AFTV Transfer Daily,2019-06-17T07:16:07Z,207221,4065,1765
Arsenal Make To Make 3rd Bid For Alexis & Neres Wanted! | AFTV Transfer Daily,2019-06-16T08:21:56Z,139499,3353,1498
Is Unai Emery Under Unfair Pressure? | All Guns Blazing Podcast ft DT,2019-06-15T11:11:44Z,208699,3626,1310
Ajax Name Their Price For Arsenal Target Hakim Ziyech! | AFTV Transfer Daily,2019-06-15T03:43:34Z,143709,3392,1727
Carrasco or Fraser? Plus Arsenal On Verge Of First Summer Signing! | AFTV Transfer Daily,2019-06-14T07:52:29Z,136368,2743,1959
Arsenal In Advanced Talks With William Saliba! | AFTV Transfer Daily,2019-06-13T07:57:53Z,129459,2786,1307
"Is It ""Time To Go!"" For These Arsenal Players?  | Claude & Ty Show",2019-06-12T16:02:52Z,114344,2299,954
£25m To Get Carrasco Done & Milan Want Torreira! | AFTV Transfer Daily,2019-06-12T07:50:43Z,159543,3677,1404
"Sell, Sell, Sell Xhaka, Ozil & Micky!!! | Biased Premier League Show ft Troopz",2019-06-11T14:59:31Z,222205,4497,1324
I'm Not Going Anywhere says Xhaka & Could Arsenal Be Back For Perišić? | AFTV Transfer Daily,2019-06-11T07:55:46Z,126409,2544,1332
Arsenal Make Approach For Ramsey Replacement & Is Xhaka Off To Inter? | AFTV Transfer Daily,2019-06-10T08:00:27Z,154892,3041,1256
Arsenal vs Spurs For Top Midfield Targets Kessié & Ünder ! | AFTV Transfer Daily,2019-06-09T10:17:52Z,131436,3029,1213
Arsenal Make Offer For Yannick Carrasco As Seven Leave In Clear Out! | AFTV Transfer Daily,2019-06-08T09:38:50Z,221844,4292,1556
It’s Not Just Kroenke’s Fault | All Gunz Blazing Podcast ft DT,2019-06-07T11:00:09Z,251136,4344,1508
Arsenal Close To Signing Sampdoria Duo & Bid Made For Alexis! | AFTV Transfer Daily,2019-06-07T07:33:18Z,177156,3394,1183
Are Arsenal Back In For Carrasco? Plus Kolašinac Wanted By Barcelona! | AFTV Transfer Daily,2019-06-06T06:49:35Z,142939,3429,1489
Upamecano or Umtiti? Arsenal Target Quality CB's | AFTV Transfer Daily,2019-06-05T08:25:08Z,129122,2779,1552
Do Arsenal Fans Have A Right To Mock Tottenham For Losing To Liverpool? | Claude & Ty Show,2019-06-04T18:39:18Z,163519,3153,1459
This Week Is Crunch Time For Mesut Ozil! | AFTV Transfer Daily,2019-06-03T08:15:50Z,184076,3608,1843
Arsenal Want Boateng or Umtiti To Fix Defence! | AFTV Transfer Daily,2019-06-02T10:50:42Z,195356,4389,1753
A Massive Summer Transfer Window For Arsenal | AFTV Transfer Daily,2019-06-01T11:05:06Z,226382,5031,1870
Arsenal 1-4 Chelsea | Final Day Vlog | 2600 Miles In Vain!,2019-05-31T06:09:42Z,346434,6007,1078
Arsenal 1-4 Chelsea Player Ratings | Another Dreadful Away Day Performance (Ft DT & Troopz),2019-05-30T05:37:30Z,2054917,31482,3999
Arsenal 1-4 Chelsea | We Don't Deserve Champions League Football!,2019-05-30T01:20:05Z,147194,2042,435
Arsenal 1-4 Chelsea | Ozil Has No Passion For Arsenal!,2019-05-30T01:10:04Z,198462,2789,730
Arsenal 1-4 Chelsea | I Flew All The Way From Australia For Our Players To Show No Fight!,2019-05-30T01:00:24Z,110518,1797,313
Arsenal 1-4 Chelsea | We Should Have Never Sold Giroud!!,2019-05-30T00:39:55Z,216519,2862,770
Arsenal 1-4 Chelsea | If You Don't Close Down Hazard He Makes You Pay!!,2019-05-30T00:16:00Z,265526,3925,714
Arsenal 1-4 Chelsea | Ozil Is Miles Off Hazard's Level!,2019-05-30T00:06:41Z,202818,3842,707
Arsenal 1-4 Chelsea | The Players Should Refund Every Fan ( Emotional Troopz),2019-05-29T23:58:30Z,1574820,30110,4983
Arsenal 1-4 Chelsea | There Are Too Many Week Minded Bottle Jobs At Our Club (DT),2019-05-29T23:52:27Z,2322373,49114,8046
Arsenal 1-4 Chelsea | We Capitulated After Giroud Scored!,2019-05-29T23:32:14Z,142879,2206,833
Arsenal v Chelsea Starting Line Up LIVE FROM BAKU,2019-05-29T18:00:06Z,216149,2668,1551
"Arsenal v Chelsea | There Are More Arsenal Fans, They’ll Be The 12th Man!",2019-05-29T14:03:23Z,43089,744,221
Arsenal v Chelsea | DT Gives His Preferred Starting 11 (Leno Or Cech?),2019-05-29T13:57:47Z,149060,3215,666
Arsenal v Chelsea | From Baghdad With Love! (Iraqi Gooners),2019-05-29T13:39:52Z,24019,691,103
"Arsenal v Chelsea | Sarri’s On A Madness, Sparking Up Benson’s! (Troopz)",2019-05-29T13:30:04Z,96527,2200,577
Arsenal v Chelsea | Azerbaijan Gooner Overjoyed That The Final Is Taking Place In BAKU!,2019-05-29T09:44:32Z,49336,1292,265
Arsenal v Chelsea | It’s Arsenal’s Biggest Game in a Decade! (DT),2019-05-28T20:00:32Z,303132,6142,1284
"There Are Gooners Everywhere, I Haven't Seen Any Chelsea Fans! (Troopz)",2019-05-28T19:24:43Z,157430,3800,445
Arsenal v Chelsea | Arsenal Fans From All Over The World Are Here In BAKU!,2019-05-28T19:16:47Z,45860,1384,222
