title,date,views,likes,comments,team_score,opponent_score
Would You Take Gareth Bale At Arsenal? | The Biased Premier League Show,2019-07-23,118179,2712.0,610,,
Robbie & Troopz Get Southern Hospitality In Atlanta! | AFTV Vlog in The USA Day 10,2019-07-22,80453,1950.0,409,,
Aubameyang Loving Life In The South!   | AFTV Vlog In The USA Day 9,2019-07-22,104158,2447.0,427,,
Iwobi Accuses Media of Fake News & Icardi Rejects Arsenal! | AFTV Transfer Daily,2019-07-21,148164,2903.0,886,,
Arsenal 3-0 Fiorentina  | Stan Kroenke Needs To Have Our Passion!,2019-07-21,22846,352.0,151,3.0,0.0
Arsenal 3-0 Fiorentina | Is Unai Emery The Right Man? (Fans Debate),2019-07-21,34399,635.0,218,3.0,0.0
Arsenal 3-0 Fiorentina | Eddie Nketiah & Willock Deserve A Chance In The First Team Now!,2019-07-21,9824,203.0,35,3.0,0.0
Arsenal 3-0 Fiorentina | I'm Not Optimistic For This Season If We Don't Make Signings!,2019-07-21,13761,291.0,56,3.0,0.0
Arsenal 3-0 Fiorentina | Arsenal Has A Bigger Fan Base Than The LA Rams! (Message To Stan),2019-07-21,18079,592.0,97,3.0,0.0
Arsenal 3-0 Fiorentina | I'd Buy Two Defenders Instead Of Zaha!,2019-07-21,11435,294.0,57,3.0,0.0
"Arsenal 3-0 Fiorentina | Don't Loan Eddie Nketiah, KEEP HIM!!!",2019-07-21,13641,322.0,39,3.0,0.0
Arsenal 3-0 Fiorentina | Good Performance But Still The Same Old Errors In Defence!,2019-07-21,9499,215.0,39,3.0,0.0
Arsenal 3-0 Fiorentina | I Think The Petition Got Stan Kroenke's Attention!,2019-07-21,14692,313.0,40,3.0,0.0
Arsenal 3-0 Fiorentina | Eddie Is The Man of The Moment!,2019-07-21,11437,343.0,61,3.0,0.0
Arsenal 3-0 Fiorentina | Lacazette Should Be Captain! (Troopz),2019-07-21,128164,3386.0,428,3.0,0.0
Arsenal Fans Invade North Carolina! | AFTV Vlog in Charlotte Day 7/8,2019-07-20,73862,1629.0,290,8.0,7.0
Saliba Confirmed & Arsenal Enquire About Juventus Wonderkid! | AFTV Transfer Daily,2019-07-20,154590,2983.0,857,,
Robbie & Troopz Do The Hollywood Walk of Fame! | AFTV Vlog in LA Day 7,2019-07-19,92815,2086.0,395,,
"Zaha Wants Out, Maguire Madness & Huddersfield's Dodgy Kit | Biased Premier League Show.",2019-07-18,135780,3048.0,697,,
Arsenal 2 -1 Bayern Munich | Do You Trust The Kroenke's To Deliver? (Robbie Asks The Fans),2019-07-18,60819,960.0,209,2.0,1.0
Arsenal 2 -1 Bayern Munich | Our Self Sustaining Model Can Work!,2019-07-18,24060,660.0,250,2.0,1.0
Arsenal 2 -1 Bayern Munich | Eddie Nketiah Brought The FIRE!!!,2019-07-18,21910,499.0,79,2.0,1.0
Arsenal 2 -1 Bayern Munich | Kroenke Is Using Arsenal As An ATM Machine!,2019-07-18,16079,366.0,56,2.0,1.0
Arsenal 2 -1 Bayern Munich | Kroenke Left In A Helicopter But Yet He Wont Spend! (Troopz),2019-07-18,265066,5145.0,668,2.0,1.0
Arsenal 2 -1 Bayern Munich | We've Heard These Promises Before From Kroenke!,2019-07-18,18071,469.0,77,2.0,1.0
Arsenal 2 -1 Bayern Munich | Josh Kroenke Better Deliver On His Promises! (Moh),2019-07-18,103688,2074.0,297,2.0,1.0
Arsenal 2 -1 Bayern Munich | I Want Stan Kroenke To Prove Us Wrong!,2019-07-18,10831,268.0,33,2.0,1.0
"Arsenal 2 -1 Bayern Munich | ""Eddie, Eddie"", Time For Him To Get A Chance!",2019-07-18,15031,393.0,47,2.0,1.0
Arsenal 2 -1 Bayern Munich | We Need To Upgrade Our Defence!,2019-07-18,19779,590.0,148,2.0,1.0
Arsenal 2 Bayern Munich 1 | It's A Pivotal Time For Arsenal!,2019-07-18,17074,483.0,83,,
Who Should Be Arsenal’s Next Captain? Ft Troopz & Harpzz,2019-07-17,85958,1858.0,1287,,
California Gooner Love! | AFTV USA Vlog Day 6 in Los Angeles,2019-07-17,57665,1497.0,240,,
"Reactions To Kroenke, Koscielny & The New Away Kit | Claude & Ty Show",2019-07-17,58790,1053.0,459,,
MINISODE 1 | BLUD BRUVVAS 2 PRESEASON | AFTV FC BACK IN ACTION,2019-07-17,153043,3033.0,458,,
Big and Very Expensive Players Promised! | AFTV Transfer Daily,2019-07-17,196084,4106.0,1580,,
"When Troopz Met Kroenke! |  AFTV USA Vlog Day 5 in Denver, Colorado",2019-07-17,421158,6952.0,689,,
"Stan Kroenke, Laurent Koscielny & The Transfer Window | Turkish Presents - The Supporters Club",2019-07-16,101075,1630.0,418,,
Dani Ceballos Loan Move To Arsenal Close & Kroenke Pressured To Spend! | AFTV Transfer Daily,2019-07-16,137827,2680.0,772,,
Become Part Of The Blud Bruvvas World! | Blud Bruvvas Call Out,2019-07-16,18794,654.0,94,,
Colorado Rapids 0-3 Arsenal | Koscielny's Behaviour Is Unacceptable! (Moh),2019-07-16,174461,2917.0,678,3.0,0.0
Colorado Rapids 0-3 Arsenal | We Should Boycott A Game!,2019-07-16,39001,784.0,208,3.0,0.0
Colorado Rapids 0-3 Arsenal | The Self Sustaining Model Doesn't Work!,2019-07-16,15024,296.0,61,3.0,0.0
Colorado Rapids 0-3 Arsenal | Martinelli Looks So Versatile!,2019-07-16,24625,538.0,69,3.0,0.0
Colorado Rapids 0-3 Arsenal | Troopz Tells Kroenke To Spend!,2019-07-16,134492,3955.0,444,3.0,0.0
Colorado Rapids 0-3 Arsenal | Kroenke's Got The Money But He's Stubborn!,2019-07-16,18059,434.0,53,3.0,0.0
"Colorado Rapids 0-3 Arsenal | It's Sad, Whats Happening At This Great Club!",2019-07-16,31048,855.0,185,3.0,0.0
"Arsenal Hit The Mid West! | AFTV USA Vlog Day 4 in Denver, Colorado",2019-07-15,62453,1370.0,242,,
We Care Do You? Arsenal Fans Send Strong Message To Stan Kroenke!,2019-07-15,162013,3972.0,1195,,
"Stan Kroenke Is A Business Man, He's In It For The Money! | (Denver Gooners)",2019-07-15,63186,1195.0,302,,
Frustration Mounts As Celtic Reject Arsenal's £25m Tierney Bid | AFTV Transfer Daily,2019-07-15,145753,2825.0,1260,,
Arsenal Closing In On Tierney & £70m Bid Made For Pepe?? | AFTV Transfer Daily,2019-07-14,155920,3426.0,1578,,
Ruben Dias Wanted To Replace Koscielny & Spurs Attempt Saliba Hijack | AFTV Transfer Daily,2019-07-13,126672,2628.0,948,,
Koscielny Must Be Stripped Of Captaincy & Fekir Wants Move | AFTV Transfer Daily,2019-07-12,157678,3226.0,1723,,
Is Zaha On or Off? Plus Fenerbahçe Cant Afford Ozil! | AFTV Transfer Daily,2019-07-11,138138,2586.0,1363,,
Getting A Centre Back Is More Important Than Zaha!! | Claude & Ty Show,2019-07-10,71296,1266.0,567,,
EDU Returns & Real Madrid Striker Offered To Arsenal! | AFTV Transfer Daily,2019-07-10,157258,2918.0,1089,,
'99.9% of young footballers won't make it pro' | Chasing the Dream | Blud Bruvvas Xclusive,2019-07-09,42427,1226.0,194,9.0,9.0
"Saliba Done, Bakayoko & Lemina Eyed By Arsenal | AFTV Transfer Daily",2019-07-09,175031,3351.0,1390,,
AFTV FC V Imperial Wharf | Pre Season Fan Grudge Match! (Commentary by Terry),2019-07-08,72137,1333.0,292,,
Is Mustafi About To Leave Arsenal? | AFTV Transfer Daily,2019-07-08,167701,3203.0,1379,,
Arsenal Revive Fraser Interest & Zaha Is Annoyed! | AFTV Transfer Daily,2019-07-07,178586,3476.0,1327,,
Arsenal 3-3 Boreham Wood  | I Think Zaha Will Join Arsenal! (Moh),2019-07-06,141120,2413.0,544,3.0,3.0
Arsenal 3-3 Boreham Wood  | Young Gooners Call For Signings To Be Made!,2019-07-06,37414,825.0,166,3.0,3.0
Arsenal 3-3 Boreham Wood | Kroenke Needs To Back Emery & Give Him The Tools He Needs! (Lee Judges),2019-07-06,232885,2799.0,510,3.0,3.0
Fenerbahçe 50-51 Percent Confident Of Signing Mesut Ozil! | AFTV Transfer Daily,2019-07-06,161593,3141.0,1460,5.0,0.0
Torreira Is An Arsenal Player Who Would Make A Good Boxer! | Dan Azeez' Road to Title Glory,2019-07-05,33391,846.0,119,,
Arsenal Make Offer For Marcelo & Argentinian CB | AFTV Transfer Daily,2019-07-05,177519,3345.0,1544,,
